	LON	LAT	Globigerinella_siphonifera	Globigerinoides_sacculifer	Globigerinoides_ruber	Globigerina_bulloides	Turborotalita_quinqueloba	Globigerinella_calida	Orbulina_universa	Pulleniatina_obliquiloculata	Neogloboquadrina_pachyderma	Globorotalia_inflata	Neogloboquadrina_incompta	Globigerinita_uvula	Globorotalia_truncatulinoides	Globorotalia_scitula	Globorotalia_hirsuta
128	135	31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
129	-29	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130	53	-35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	-26	37	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
132	-24	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	-22	34	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
134	-54	19	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
135	-32	59	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
136	74	-42	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
137	-5	46	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
138	-54	-53	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0
139	-168	54	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
140	162	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
141	-9	32	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
142	26	33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
143	25	34	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
144	17	39	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
145	42	-10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
146	43	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	-18	30	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
148	-26	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	39	-5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	40	-8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	-12	57	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
152	-16	62	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
153	-9	42	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
154	65	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
155	-57	-51	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
156	-48	57	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
157	-22	26	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
158	-127	49	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
159	-64	-57	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
160	-22	37	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
161	-166	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
162	-68	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
163	64	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
164	162	-23	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
165	-22	31	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
166	160	-7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
167	28	33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
168	0	37	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
169	41	-10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
170	-77	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	64	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	113	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	35	-25	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	63	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	133	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	134	32	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	-28	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	-31	34	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	-29	35	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	-21	43	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	9	43	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	53	-10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
183	-72	15	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
184	-83	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
185	-80	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
186	-21	32	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
187	-54	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
188	41	-8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
189	131	31	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
190	76	-40	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
191	-10	42	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
192	144	42	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
193	-8	44	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
194	73	-44	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
195	-5	45	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
196	-58	-52	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
197	-45	-52	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
198	-173	56	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
199	-49	51	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
200	-14	61	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
201	-52	-53	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
202	-58	-53	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
203	-45	-55	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
204	-44	-52	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
205	-44	-56	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
206	-64	-58	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
207	-63	-63	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
208	-51	-38	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
