	LON	LAT	Pulleniatina_obliquiloculata	Globigerinoides_sacculifer	Globorotalia_ungulata	Globigerinoides_ruber	Globorotalia_menardii	Hastigerinella_digitata	Globigerinella_siphonifera	Globigerinella_calida	Globigerinoides_conglobatus	Neogloboquadrina_dutertrei	Orbulina_universa	Globigerina_bulloides	Globigerinita_glutinata	Turborotalita_quinqueloba	Phyllostaurus_cuspidatus	Globigerinita_uvula	Neogloboquadrina_incompta	Globoquadrina_conglomerata	Globorotalia_hirsuta	Hastigerina_pelagica	Neogloboquadrina_pachyderma	Virgulinella_fragilis	Pararotalia_calcariformata	Globorotalia_truncatulinoides	Globorotalia_scitula	Beella_digitata	Amphisorus_hemprichii	Sorites_orbiculus	Sorites_variabilis	Globorotalia_inflata	Globorotalia_tumida	Neidium_amphigomphus	Vellaria_pellucidus	Flexammina_islandica
77	-5.77	35.98	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	-8.5	36.01	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	-3.14	36.3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80	-0.5	37.25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	3.14	38.91	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	2.53	38.95	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	2.75	39.1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	17.75	39.16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	2.73	39.23	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	2.71	39.27	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	-159.18	8.32	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	59.1892	-0.4517	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89	65.0002	15.0111	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
