	country	ISO3.1	ADMIN.1	REGION	continent	GEO3major	GEO3	LON	LAT	country2	Stramenopiles	Alveolata	Rhizaria				
40	India	IND	India	Asia	Eurasia	Asia and the Pacific	South Asia	79.59370376	22.92500641	India	18	17	0				
41	Indian Ocean		Indian Ocean	Indian Ocean	Indian Ocean	Indian Ocean	Indian Ocean	77	-10	Indian Ocean	1.333333333	2.666666667	16				
42	Indonesia	IDN	Indonesia	Asia	Eurasia	Asia and the Pacific	Southeast Asia	114.0226835	-0.254301557	Indonesia	5	10	5				
43	Iran	IRN	Iran	Asia	Eurasia	Asia and the Pacific	South Asia	54.2854515	32.51891732	Iran	13.33333333	6.666666667	0				
44	Ireland	IRL	Ireland	Europe	Eurasia	Europe	Western Europe	-8.010236545	53.18059121	Ireland	11.42857143	8.571428571	0				
45	Israel	ISR	Israel	Europe	Eurasia	Europe	Western Europe	35.00385005	31.48491781	Israel	0	1.25	18.75				
46	Italy	ITA	Italy	Europe	Eurasia	Europe	Western Europe	12.21947649	43.47247611	Italy	16	36	1				
47	Jamaica	JAM	Jamaica	South America	South America	Latin America and the Caribbean	Caribbean	-77.3242548	18.13763613	Jamaica	0	20	0				
48	Japan	JPN	Japan	Asia	Eurasia	Asia and the Pacific	NW Pacific and East Asia	136.8819473	36.01907537	Japan	66	121	86				
49	Jordan	JOR	Jordan	Asia	Eurasia	West Asia	Mashriq	36.77945491	31.24549058	Jordan	0	20	0				
50	Kenya	KEN	Kenya	Africa	Africa	Africa	Eastern Africa	37.79155529	0.595966252	Kenya	0	20	0				
51	Kuwait	KWT	Kuwait	Asia	Eurasia	West Asia	Mashriq	47.60009889	29.30726663	Kuwait	5	15	0				
52	Luxembourg	LUX	Luxembourg	Europe	Eurasia	Europe	Western Europe	5.965223432	49.76570507	Luxembourg	23	0	0				
53	Macedonia	MKD	Macedonia	Europe	Eurasia	Europe	Central Europe	21.69789682	41.60592893	Macedonia	20	0	0				
54	Malaysia	MYS	Malaysia	Asia	Eurasia	Asia and the Pacific	Southeast Asia	114.675514	3.548111771	Malaysia	18.75	1.25	0				
55	Maldives	MDV	Maldives	Asia	Eurasia	Asia and the Pacific	South Asia	73.41089748	3.260754212	Maldives	0	0	20				
56	Martinique		Martinique	South America	South America	Latin America and the Caribbean	Caribbean	-61	14.65	Martinique	0	20	0				
57	Mediterranean Sea		Mediterranean Sea	Mediterranean Sea	Mediterranean Sea	Mediterranean Sea	Mediterranean Sea	18.005	34.5	Mediterranean Sea	1	35	3				
58	Mexico	MEX	Mexico	South America	South America	Latin America and the Caribbean	Meso-America	-102.5763495	23.9353719	Mexico	6.666666667	13.33333333	0				
59	Mongolia	MNG	Mongolia	Asia	Eurasia	Asia and the Pacific	NW Pacific and East Asia	102.9464052	46.8236825	Mongolia	0	20	0				
60	Morocco	MAR	Morocco	Africa	Africa	Africa	North Africa	-8.420479545	29.8853947	Morocco	6.666666667	13.33333333	0				
61	Namibia	NAM	Namibia	Africa	Africa	Africa	Southern Africa	17.15616813	-22.09977693	Namibia	0	13.33333333	6.666666667				
62	Netherlands	NLD	Netherlands	Europe	Eurasia	Europe	Western Europe	5.512217101	52.29870037	Netherlands	8	12	0				
63	Netherlands Antilles	CUW	Curacao	South America	South America	Latin America and the Caribbean	Caribbean	-68.9712225	12.19552443	Netherlands Antilles	0	0	20				
64	New Caledonia	NCL	New Caledonia	Australia	Australia	Asia and the Pacific	South Pacific	165.5344746	-21.26135761	New Caledonia	0	0	20				
65	New Zealand	NZL	New Zealand	Australia	Australia	Asia and the Pacific	Australia and New Zealand	170.5130114	-43.98581773	New Zealand	13	7	3				
66	ND		ND	ND	ND	ND	ND	-108	-52	NoData	990	930	284				
67	North Sea		Atlantic Ocean	Atlantic Ocean	Atlantic Ocean	Atlantic Ocean	Atlantic Ocean	3.5	56.5	North Sea	0	20	0				
68	Norway	NOR	Norway	Europe	Eurasia	Europe	Western Europe	14.24477989	64.53653033	Norway	10	8	20				
69	Oman	OMN	Oman	Asia	Eurasia	West Asia	Arabian Peninsula	56.09759853	20.58108029	Oman	10	10	0				
70	Pacific Ocean		Pacific Ocean	Pacific Ocean	Pacific Ocean	Pacific Ocean	Pacific Ocean	-124.8	-9	Pacific Ocean	4	0	29				
71	Pakistan	PAK	Pakistan	Asia	Eurasia	Asia and the Pacific	South Asia	69.41399806	29.97346003	Pakistan	0	20	0				
72	Palau	PLW	Palau	Australia	Australia	Asia and the Pacific	South Pacific	134.5805005	7.512980955	Palau	20	0	0				
73	Panama	PAN	Panama	South America	South America	Latin America and the Caribbean	Meso-America	-80.10916484	8.530019389	Panama	20	0	0				
74	Peru	PER	Peru	South America	South America	Latin America and the Caribbean	South America	-74.39180582	-9.191562905	Peru	0	20	0				
75	Philippines	PHL	Philippines	Asia	Eurasia	Asia and the Pacific	Southeast Asia	121.5444424	15.75094435	Philippines	6.666666667	13.33333333	0				
76	Poland	POL	Poland	Europe	Eurasia	Europe	Central Europe	19.31101431	52.14826022	Poland	16.92307692	3.076923077	0				
77	Portugal	PRT	Portugal	Europe	Eurasia	Europe	Western Europe	-8.055765588	39.63404977	Portugal	10	5	5				
78	Puerto Rico	PRI	Puerto Rico	South America	South America	Latin America and the Caribbean	Caribbean	-66.47922228	18.23722457	Puerto Rico	0	10	10				
79	Qatar	QAT	Qatar	Asia	Eurasia	West Asia	Arabian Peninsula	51.18350258	25.32185097	Qatar	0	20	0				
80	Reunion		Reunion	Africa	Africa	Africa	Western Indian Ocean	55.5	-21.1	Reunion	0	0	20				
81	Russia	RUS	Russia	Europe	Eurasia	Europe	Eastern Europe	99.21652679	61.69256471	Russia	11	7	5				
82	Saint Helena	SHN	Saint Helena	Africa	Africa	Africa	Southern Africa	-5.716196812	-15.95890195	Saint Helena	20	0	0				
83	Saudi Arabia	SAU	Saudi Arabia	Asia	Eurasia	West Asia	Arabian Peninsula	44.51636377	24.12328984	Saudi Arabia	10	10	0				
84	Singapore	SGP	Singapore	Asia	Eurasia	Asia and the Pacific	Southeast Asia	103.8172532	1.358770661	Singapore	10	10	0				
85	Slovakia	SVK	Slovakia	Europe	Eurasia	Europe	Central Europe	19.50765715	48.72671135	Slovakia	0	20	0				
86	South Africa	ZAF	South Africa	Africa	Africa	Africa	Southern Africa	25.11739621	-28.96210619	South Africa	6	14	0				
87	South Korea	KOR	South Korea	Asia	Eurasia	Asia and the Pacific	NW Pacific and East Asia	127.8213171	36.4275986	South Korea	10	62	0				
88	Southern Ocean		Southern Ocean	Southern Ocean	Southern Ocean	Southern Ocean	Southern Ocean	0	-62	Southern Ocean	0	0	20				
89	Spain	ESP	Spain	Europe	Eurasia	Europe	Western Europe	-3.617020602	40.34865611	Spain	16	16	5				
90	Sudan	SDN	Sudan	Africa	Africa	Africa	North Africa	29.86260401	15.990585	Sudan	0	20	0				
91	Svalbard		Svalbard	Europe	Eurasia	Europe	Polar	-17.5	78.5	Svalbard	0	10	10				
92	Sweden	SWE	Sweden	Europe	Eurasia	Europe	Western Europe	16.59626585	62.81148497	Sweden	4	3	22				
93	Switzerland	CHE	Switzerland	Europe	Eurasia	Europe	Western Europe	8.118300613	46.79173768	Switzerland	8.333333333	1.666666667	10				
94	Taiwan	TWN	Taiwan	Asia	Eurasia	Asia and the Pacific	NW Pacific and East Asia	120.9748007	23.74096498	Taiwan	20	0	0				
95	Tanzania	TZA	United Republic of Tanzania	Africa	Africa	Africa	Southern Africa	34.75298813	-6.257732721	Tanzania	0	20	0				
96	Thailand	THA	Thailand	Asia	Eurasia	Asia and the Pacific	Southeast Asia	101.0061335	15.01697499	Thailand	0	13.33333333	6.666666667				
97	Tunisia	TUN	Tunisia	Africa	Africa	Africa	North Africa	9.534716121	34.17293904	Tunisia	15	0	5				
98	Turkey	TUR	Turkey	Europe	Eurasia	Europe	Central Europe	35.39210246	38.99072973	Turkey	14.28571429	5.714285714	0				
99	Uganda	UGA	Uganda	Africa	Africa	Africa	Eastern Africa	32.35754815	1.295486963	Uganda	0	0	20				
100	Ukraine	UKR	Ukraine	Europe	Eurasia	Europe	Eastern Europe	31.36953308	48.97301797	Ukraine	8	8	4				
101	United Kingdom	GBR	United Kingdom	Europe	Eurasia	Europe	Western Europe	-2.657992979	53.88335871	United Kingdom	30	9	6				
102	Uruguay	URY	Uruguay	South America	South America	Latin America and the Caribbean	South America	-56.00327867	-32.78090437	Uruguay	20	0	0				
103	USA	USA	United States of America	North America	North America	North America	US	-99.06024063	39.50155413	USA	171	61	35				
104	Venezuela	VEN	Venezuela	South America	South America	Latin America and the Caribbean	South America	-66.16382728	7.162132268	Venezuela	0	20	0				
105	Viet Nam	VNM	Vietnam	Asia	Eurasia	Asia and the Pacific	Southeast Asia	106.2858408	16.65793775	Viet Nam	13.33333333	6.666666667	0				
