name	gb number	isolate	isolation_source	lat_lon	country	lab_host	collected_by	culture_collection	host	note	Authors	Title	journal	pubmed_id
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globorotalia_ungulata	KJ633151		South Pacific, 90-120m, Cruise GYRAFOR-A	0.00 N 162.50 E			Yurika Ujiie				 Andre,A., Quillevere,F., Morard,R., Ujiie,Y., Escarguel,G., de Vargas,C., de Garidel-Thoron,T. and Douady,C.J.	 SSU rDNA Divergence in Planktonic Foraminifera	 PLoS ONE 9 (8), E104641 (2014)	25119900
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globigerinoides_ruber	EU012487	56		0.00 N 169.92 W						genotype: ss	 Kuroyanagi,A., Tsuchiya,M., Kawahata,H. and Kitazato,H.	 The occurrence of two genotypes of the planktonic foraminifer Globigerinoides ruber (white) and paleo-environmental implications	 Mar. Micropaleontol. 68 (3-4), 236-243 (2008)	
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globigerinoides_ruber	EU012486	56		0.00 N 169.92 W						genotype: ss	 Kuroyanagi,A., Tsuchiya,M., Kawahata,H. and Kitazato,H.	 The occurrence of two genotypes of the planktonic foraminifer Globigerinoides ruber (white) and paleo-environmental implications	 Mar. Micropaleontol. 68 (3-4), 236-243 (2008)	
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globigerinoides_ruber	EU012485	55		0.00 N 169.92 W						genotype: ss	 Kuroyanagi,A., Tsuchiya,M., Kawahata,H. and Kitazato,H.	 The occurrence of two genotypes of the planktonic foraminifer Globigerinoides ruber (white) and paleo-environmental implications	 Mar. Micropaleontol. 68 (3-4), 236-243 (2008)	
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globigerinoides_ruber	EU012484	55		0.00 N 169.92 W						genotype: sl	 Kuroyanagi,A., Tsuchiya,M., Kawahata,H. and Kitazato,H.	 The occurrence of two genotypes of the planktonic foraminifer Globigerinoides ruber (white) and paleo-environmental implications	 Mar. Micropaleontol. 68 (3-4), 236-243 (2008)	
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globigerinoides_ruber	EU012483	55		0.00 N 169.92 W						genotype: sl	 Kuroyanagi,A., Tsuchiya,M., Kawahata,H. and Kitazato,H.	 The occurrence of two genotypes of the planktonic foraminifer Globigerinoides ruber (white) and paleo-environmental implications	 Mar. Micropaleontol. 68 (3-4), 236-243 (2008)	
>Rhizaria_Foraminifera_Rotaliida_Globigerinacea_Globigerinoides_ruber	EU012482	55		0.00 N 169.92 W						genotype: sl	 Kuroyanagi,A., Tsuchiya,M., Kawahata,H. and Kitazato,H.	 The occurrence of two genotypes of the planktonic foraminifer Globigerinoides ruber (white) and paleo-environmental implications	 Mar. Micropaleontol. 68 (3-4), 236-243 (2008)	
>Rhizaria_Cercozoa_Cercomonadida_Cercomonadidae_Massisteria_sp._diva	EF405687		sediment-water interface, Guinea Abyssal Plain, -5066 m.	0.000 S 2.415 W							 Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.	 Genetically homogenous populations of flagellate morphospecies across several deep-sea abyssal plains of the South-East Atlantic Ocean	 Unpublished	
>Rhizaria_Cercozoa_Cercomonadida_Cercomonadidae_Massisteria_sp._diva	EF405683		sediment-water interface, Guinea Abyssal Plain, -5066 m.	0.000 S 2.415 W							 Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.	 Genetically homogenous populations of flagellate morphospecies across several deep-sea abyssal plains of the South-East Atlantic Ocean	 Unpublished	
>Rhizaria_Cercozoa_Cercomonadida_Cercomonadidae_Massisteria_sp._diva	EF405681		sediment-water interface, Guinea Abyssal Plain, -5066 m.	0.000 S 2.415 W							 Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.	 Genetically homogenous populations of flagellate morphospecies across several deep-sea abyssal plains of the South-East Atlantic Ocean	 Unpublished	
>Rhizaria_Cercozoa_Cercomonadida_Cercomonadidae_Massisteria_sp._diva	EF405682		sediment-water interface, Guinea Abyssal Plain, -5064 m.	0.000 S 2.417 W							 Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.	 Genetically homogenous populations of flagellate morphospecies across several deep-sea abyssal plains of the South-East Atlantic Ocean	 Unpublished	
>Rhizaria_Cercozoa_Cercomonadida_Cercomonadidae_Massisteria_sp._diva	EF405691		sediment-water interface, Guinea Abyssal Plain, -5063 m.	0.002 N 2.417 W							 Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.	 Genetically homogenous populations of flagellate morphospecies across several deep-sea abyssal plains of the South-East Atlantic Ocean	 Unpublished	
>Rhizaria_Cercozoa_Cercomonadida_Cercomonadidae_Massisteria_sp._diva	EF405677		sediment-water interface, Guinea Abyssal Plain, -5063 m.	0.002 N 2.417 W							 Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.	 Genetically homogenous populations of flagellate morphospecies across several deep-sea abyssal plains of the South-East Atlantic Ocean	 Unpublished	
>Rhizaria_Cercozoa_Cercomonadida_Cercomonadidae_Massisteria_sp._diva	EF405672		sediment-water interface, Guinea Abyssal Plain, -5063 m.	0.002 N 2.417 W							 Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.	 Genetically homogenous populations of flagellate morphospecies across several deep-sea abyssal plains of the South-East Atlantic Ocean	 Unpublished	
>Rhizaria_Cercozoa_Cercomonadida_Cercomonadidae_Massisteria_sp._diva	EF405674		sediment-water interface, Guinea Abyssal Plain, -5066 m.	0.002 S 2.413 W							 Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.	 Genetically homogenous populations of flagellate morphospecies across several deep-sea abyssal plains of the South-East Atlantic Ocean	 Unpublished	
>Rhizaria_Cercozoa_Cercomonadida_Cercomonadidae_Massisteria_sp._diva	EF405671		sediment-water interface, Guinea Abyssal Plain, -5066 m.	0.002 S 2.413 W							 Scheckenbach,F., Hausmann,K., Wylezich,C., Weitere,M. and Arndt,H.	 Genetically homogenous populations of flagellate morphospecies across several deep-sea abyssal plains of the South-East Atlantic Ocean	 Unpublished	
